url,band,jahr,bemerkung,,
Band_bsb00001018.html,MVGN Band 1,1879,,,
Band_bsb00001019.html,MVGN Band 2,1880,,,
Band_bsb00001020.html,MVGN Band 3,1881,,,
Band_bsb00000952.html,MVGN Band 4,1882,,,
Band_bsb00001021.html,MVGN Band 5,1884,,,
Band_bsb00001022.html,MVGN Band 6,1886,,,
Band_bsb00001023.html,MVGN Band 7,1888,,,
Band_bsb00001024.html,MVGN Band 8,1889,,,
Band_bsb00001025.html,MVGN Band 9,1892,,,
Band_bsb00000956.html,MVGN Band 10,1893,,,
Band_bsb00001050.html,MVGN Band 11,1895,,,
Band_bsb00001055.html,MVGN Band [11,a],,,
Band_bsb00001004.html,MVGN Band 12,1898,,,
Band_bsb00001005.html,MVGN Band 13,1899,,,
Band_bsb00001006.html,MVGN Band 14,1901,,,
Band_bsb00000957.html,MVGN Band 15,1902,,,
Band_bsb00000958.html,MVGN Band 16,1904,,,
Band_bsb00001007.html,MVGN Band 17,1906,,,
Band_bsb00001008.html,MVGN Band 18,1908,,,
Band_bsb00000959.html,MVGN Band 19,1911,,,
Band_bsb00000960.html,MVGN Band 20,1913,,,
Band_bsb00001009.html,MVGN Band 21,1915,,,
Band_bsb00001010.html,MVGN Band 22,1918,,,
Band_bsb00001026.html,MVGN Band 23,1919,,,
Band_bsb00001027.html,MVGN Band 24,1922,,,
Band_bsb00001041.html,MVGN Band 25,1924,,,
Band_bsb00001028.html,MVGN Band 26,1926,,,
Band_bsb00001029.html,MVGN Band 27,1928,,,
Band_bsb00001011.html,MVGN Band 28,1928,,,
Band_bsb00001012.html,MVGN Band 29,1928,,,
Band_bsb00001030.html,MVGN Band 30,1931,,,
Band_bsb00001031.html,MVGN Band 31,1933,,,
Band_bsb00001032.html,MVGN Band 32,1934,,,
Band_bsb00001033.html,MVGN Band 33,1936,,,
Band_bsb00001034.html,MVGN Band 34,1937,,,
Band_bsb00001035.html,MVGN Band 35,1937,,,
Band_bsb00001036.html,MVGN Band 36,1939,,,
Band_bsb00001037.html,MVGN Band 37,1940,,,
Band_bsb00000961.html,MVGN Band 38,1941,,,
Band_bsb00001042.html,MVGN Band 39,1944,,,
Band_bsb00001038.html,MVGN Band 40,1949,,,
Band_bsb00001200.html,MVGN Band 41,1950,,,
Band_bsb00000962.html,MVGN Band 42,1951,,,
Band_bsb00000963.html,MVGN Band 43,1952,,,
Band_bsb00001043.html,MVGN Band 43,a,a,1953,Namenregister zu Bd. 11 - 43
Band_bsb00000964.html,MVGN Band 44,1953,,,
Band_bsb00001044.html,MVGN Band 45,1954,,,
Band_bsb00001045.html,MVGN Band 46,1955,,,
Band_bsb00000965.html,MVGN Band 47,1956,,,
Band_bsb00001013.html,MVGN Band 48,1958,,,
Band_bsb00000966.html,MVGN Band 49,1959,,,
Band_bsb00000967.html,MVGN Band 50,1960,,,
Band_bsb00001046.html,MVGN Band [50,a],,,
Band_bsb00001014.html,MVGN Band 51,1962,,,
Band_bsb00000968.html,MVGN Band 52, 1963/64,,,
Band_bsb00000969.html,MVGN Band 53,1965,,,
Band_bsb00000970.html,MVGN Band 54,1966,,,
Band_bsb00000971.html,MVGN Band 55, 1967/68,,,
Band_bsb00000972.html,MVGN Band 56,1969,,,
Band_bsb00000973.html,MVGN Band 57,1970,,,
Band_bsb00000974.html,MVGN Band 58,1971,,,
Band_bsb00000975.html,MVGN Band 59,1972,,,
Band_bsb00000976.html,MVGN Band 60,1973,,,
Band_bsb00001047.html,MVGN Band [60, a],,,
Band_bsb00000977.html,MVGN Band 61,1974,,,
Band_bsb00000978.html,MVGN Band 62,1975,,,
Band_bsb00000979.html,MVGN Band 63,1976,,,
Band_bsb00000980.html,MVGN Band 64,1977,,,
Band_bsb00000981.html,MVGN Band 65,1978,,,
Band_bsb00000982.html,MVGN Band 66,1979,,,
Band_bsb00000983.html,MVGN Band 67,1980,,,
Band_bsb00001048.html,MVGN Band [67, a],,,
Band_bsb00000984.html,MVGN Band 68,1981,,,
Band_bsb00000985.html,MVGN Band 69,1982,,,
Band_bsb00000986.html,MVGN Band 70,1983,,,
Band_bsb00000987.html,MVGN Band 71,1984,,,
Band_bsb00000988.html,MVGN Band 72,1985,,,
Band_bsb00000989.html,MVGN Band 73,1986,,,
Band_bsb00000990.html,MVGN Band 74,1987,,,
Band_bsb00000991.html,MVGN Band 75,1988,,,
Band_bsb00000992.html,MVGN Band 76,1989,,,
Band_bsb00000993.html,MVGN Band 77,1990,,,
Band_bsb00001015.html,MVGN Band 78,1991,,,
Band_bsb00001016.html,MVGN Band 79,1992,,,
Band_bsb00000994.html,MVGN Band 80,1993,,,
Band_bsb00001056.html,MVGN Band [80,a],,,
Band_bsb00000995.html,MVGN Band 81,1994,,,
Band_bsb00000996.html,MVGN Band 82,1995,,,
Band_bsb00000997.html,MVGN Band 83,1996,,,
Band_bsb00000998.html,MVGN Band 84,1997,,,
Band_bsb00000999.html,MVGN Band 85,1998,,,
Band_bsb00001000.html,MVGN Band 86,1999,,,
Band_bsb00001001.html,MVGN Band 87,2000,,,
Band_bsb00001002.html,MVGN Band 88,2001,,,
Band_bsb00001003.html,MVGN Band 89,2002,,,
Band_bsb00001017.html,MVGN Band 90,2003,,,
Band_bsb00001092.html,MVGN Band 91,2004,,,
Band_bsb00059853.html,MVGN Band 92,2005,,,
Band_bsb00069316.html,MVGN Band 93,2006,,,
Band_bsb00069312.html,MVGN Band 94,2007,,,
Band_bsb00079178.html,MVGN Band 95,2008,,,
